title,total_views,total_answers
How do I undo the most recent local commits in Git?,8083391,80
How do I delete a Git branch locally and remotely?,7334016,38
How do I remove a particular element from an array in JavaScript?,5920663,81
How do I find all files containing specific text on Linux?,5890525,42
How do I redirect to another webpage?,5820050,58
How do I convert a String to an int in Java?,5728355,43
How to check whether a string contains a substring in JavaScript?,5669356,3
How to create an HTML button that acts like a link?,5512319,31
How do I revert a Git repository to a previous commit?,5272259,41
How do I check out a remote Git branch?,4845042,27
How do I check if a string contains a specific word?,4515901,36
How do I declare and initialize an array in Java?,4240773,24
"How do I force ""git pull"" to overwrite local files?",4013360,42
Iterating over dictionaries using 'for' loops,4004793,10
How do I UPDATE from a SELECT in SQL Server?,3957623,33
How to check whether a checkbox is checked in jQuery?,3947508,62
"Why does my JavaScript code get a ""No 'Access-Control-Allow-Origin' header is present on the requested resource"" error when Postman does not?",3842690,44
How do I generate random integers within a specific range in Java?,3840223,65
For-each over an array in JavaScript?,3833215,33
How to horizontally center a <div>?,3800260,101
How do I change permissions for a folder and all of its subfolders and files in one step in Linux?,3724989,16
Does Python have a string 'contains' substring method?,3715961,10
How do I compare strings in Java?,3698219,23
Get selected value in dropdown list using JavaScript,3682114,22
How to split a string in Java,3633577,34
How do I check whether a file exists without exceptions?,3627851,37
How do I parse a string to a float or int?,3614481,23
Iterate through a HashMap,3559366,7
How can I get query string values in JavaScript?,3506783,73
How do I list all files of a directory?,3489589,22
How do I perform an IF...THEN in an SQL SELECT?,3454571,25
Loop through an array in JavaScript,3419630,39
Finding the index of an item given a list containing it in Python,3378287,28
How to read a file line-by-line into a list?,3309721,28
How to concatenate string variables in Bash,3292043,30
How do I push a new local branch to a remote Git repository and track it too?,3163066,13
Calling an external command in Python,3151853,60
Converting integer to string?,3145154,11
Redirect from an HTML page,3122435,26
How do I get the number of elements in a list?,3110496,7
"Setting ""checked"" for a checkbox with jQuery?",3108126,40
How to format a JavaScript date,3102583,50
Add new keys to a dictionary?,3080102,14
How to replace all occurrences of a string?,3071584,56
How do I vertically center text with CSS?,3063010,38
Regular expression to match a line that doesn't contain a word,3062310,29
Check if a given key already exists in a dictionary,3042469,16
Using global variables in a function,3007241,18
SQL Server: CASE WHEN OR THEN ELSE END => the OR is not supported,2957510,10
How to get the current time in Python,2916124,33
"Tab space instead of multiple non-breaking spaces (""nbsp"")?",2889451,34
How do I import an SQL file using the command line in MySQL?,2852399,45
What is the best comment in source code you have ever encountered?,2852387,518
How do I install pip on Windows?,2851026,35
How do I include a JavaScript file in another JavaScript file?,2829008,57
How to append something to an array?,2806537,30
Initialization of an ArrayList in one line,2803052,30
How do I get PHP errors to display?,2796493,27
How can I make a time delay in Python?,2787461,12
Determine installed PowerShell version,2778052,19
How do I clone a specific Git branch?,2749617,7
What is the difference between Python's list methods append and extend?,2745669,20
How do I undo 'git add' before commit?,2733291,32
How do I create a file and write to it in Java?,2724843,30
How can you find out which process is listening on a port on Windows?,2717847,28
How to validate an email address in JavaScript,2690317,84
Limiting floats to two decimal points,2672774,24
Get the current URL with JavaScript?,2657375,20
Add a column with a default value to an existing table in SQL Server,2655025,37
How do you get a timestamp in JavaScript?,2652942,38
Check if a directory exists in a shell script,2645063,35
Reset local repository branch to be just like remote repository HEAD,2636628,18
Get the full URL in PHP,2634578,28
How do I make a redirect in PHP?,2627034,31
RegEx match open tags except XHTML self-contained tags,2625221,34
How to substring a string in Python?,2616851,11
How to check empty/undefined/null string in JavaScript?,2609192,41
Easiest way to convert int to string in C++,2608433,27
What is the difference between 'git pull' and 'git fetch'?,2605527,41
Converting string into datetime,2602994,19
How do I rename a local Git branch?,2583435,32
How do I use 'git reset --hard HEAD' to revert to a previous commit?,2576961,2
How to return only the Date from a SQL Server DateTime datatype,2576752,40
Why can't Python parse this JSON data?,2573689,9
What is the correct JSON content type?,2563004,34
Find current directory and file's directory,2558073,13
Finding duplicate values in a SQL table,2544593,28
How do I POST JSON data with Curl from a terminal/commandline to Test Spring REST?,2543807,22
How do I check if an element is hidden in jQuery?,2492208,55
How does the Java 'for each' loop work?,2483726,26
Inserting multiple rows in a single SQL query?,2470876,4
"What is a NullPointerException, and how do I fix it?",2444274,12
"What does if __name__ == ""__main__"": do?",2432869,29
How can I determine the URL that a local Git repository was originally cloned from?,2429540,21
"How to modify existing, unpushed commit messages?",2419847,27
How to resolve merge conflicts in Git,2418738,34
How to change an element's class with JavaScript?,2411459,29
"What does ""Could not find or load main class"" mean?",2406218,45
How to align a <div> to the middle (horizontally/width) of the page,2393043,27
How do I get the current date in JavaScript?,2385206,46
How do I check if a list is empty?,2381460,28
"How do I shutdown, restart, or log off Windows via a bat file?",2374379,9
How do I tell if a regular file does not exist in Bash?,2364094,19
How can I safely create a nested directory?,2361610,25
Insert into ... values ( SELECT ... FROM ... ),2360363,23
Deleting an element from an array in PHP,2357116,37
How do I check if an array includes an object in JavaScript?,2356521,46
How do I discard unstaged changes in Git?,2340664,34
How do I sort a dictionary by value?,2338200,34
How do I copy folder with files to another folder in Unix/Linux?,2334865,3
How can I refresh a page with jQuery?,2332705,23
How do I efficiently iterate over each entry in a Java Map?,2328292,40
How do I empty an array in JavaScript?,2325142,18
How to determine if variable is 'undefined' or 'null'?,2319990,25
Open a URL in a new tab (and not a new window) using JavaScript,2306515,27
What is the JavaScript version of sleep()?,2295509,74
jQuery scroll to element,2289964,29
How to remove an element from a list by index?,2283167,19
How can I set the default value for an HTML <select> element?,2262410,22
Reading a plain text file in Java,2257557,25
"What is the difference between ""INNER JOIN"" and ""OUTER JOIN""?",2248763,24
"Which ""href"" value should I use for JavaScript links, ""#"" or ""javascript:void(0)""?",2221953,54
How do I convert from int to String?,2211782,19
Set cellpadding and cellspacing in CSS?,2210419,26
How do I lowercase a string in Python?,2208397,5
How do I auto-resize an image to fit a 'div' container?,2205879,31
PUT vs. POST in REST,2195310,33
Renaming columns in pandas,2194170,23
The Definitive C++ Book Guide and List,2191260,1
Get the value in an input text box,2191181,11
Git fetch remote branch,2174602,31
How to determine a Python variable's type?,2170147,16
"How to check for ""undefined"" in JavaScript?",2136995,16
How to concatenate text from multiple rows into a single text string in SQL server?,2132408,46
How do I iterate over the words of a string?,2120627,76
How to convert list to string,2119563,3
How to copy a folder from remote to local using scp?,2117091,11
"Error message ""Forbidden You don't have permission to access / on this server""",2113194,34
How do I get the current date and time in PHP?,2094896,36
How can I recursively find all files in current and subfolders based on wildcard matching?,2093501,14
How to remove local (untracked) files from the current Git working tree,2089881,35
Round to at most 2 decimal places (only if necessary),2082494,70
Get list of all tables in Oracle?,2078773,21
What's the simplest way to print a Java array?,2076411,32
"What does the ""yield"" keyword do?",2063325,38
Select rows from a DataFrame based on values in a column in pandas,2061882,10
How do I generate a random int number?,2061269,29
Disable/enable an input with jQuery?,2059956,17
Delete commits from a branch in Git,2056241,28
How can I delete a file from a Git repository?,2051281,18
Center a column using Twitter Bootstrap 3,2047414,33
"Set select option 'selected', by value",2041442,25
How can I know which radio button is selected via jQuery?,2041091,34
How do I remove a property from a JavaScript object?,2021126,38
How do I concatenate two lists in Python?,2019821,25
Getting random numbers in Java,2017853,2
Get current URL with jQuery?,2014654,30
How do you change the size of figures drawn with matplotlib?,2004601,15
How do I read / convert an InputStream into a String in Java?,1981698,58
How to define a two-dimensional array in Python,1975085,26
How do I exit the Vim editor?,1969742,13
I need an unordered list without any bullets,1967810,27
How do I get the value of text input field using JavaScript?,1962099,12
How do you create a remote Git branch?,1956073,18
How do I split a string on a delimiter in Bash?,1954580,33
"What is the difference between public, protected, package-private and private in Java?",1948001,25
Get selected text from a drop-down list (select box) using jQuery,1943360,31
How to symlink a file in Linux?,1939363,18
How do I install pip on macOS or OS X?,1914106,21
Undo a Git merge that hasn't been pushed yet,1913674,31
Can comments be used in JSON?,1897447,49
How can I add a key/value pair to a JavaScript object?,1895395,23
Correct way to write line to file?,1893705,12
How to get the value from the GET parameters?,1882223,56
"PowerShell says ""execution of scripts is disabled on this system.""",1864426,22
How can I create a two dimensional array in JavaScript?,1862128,43
Accessing the index in 'for' loops?,1854471,19
Parse JSON in JavaScript?,1850513,16
How do I determine whether an array contains a particular value in Java?,1841657,26
Insert results of a stored procedure into a temporary table,1841129,27
"Is Java ""pass-by-reference"" or ""pass-by-value""?",1840736,83
Find all tables containing column with specified name - MS SQL Server,1836913,24
How are parameters sent in an HTTP POST request?,1836696,8
What is the most efficient way to deep clone an object in JavaScript?,1836552,69
Convert bytes to a string?,1830585,18
How do I make the first letter of a string uppercase in JavaScript?,1828369,84
CSS Background Opacity,1826407,8
Make the cursor a hand when a user hovers over a list item,1825353,22
How to align content of a div to the bottom,1815423,25
Echo newline in Bash prints literal \n,1814846,21
jQuery AJAX submit form,1810217,17
How do I test for an empty JavaScript object?,1804914,44
How to make a div 100% height of the browser window,1800506,31
How do you format code in Visual Studio Code (VSCode),1798933,29
How to fix java.lang.UnsupportedClassVersionError: Unsupported major.minor version,1793584,48
How to check if a string contains a substring in Bash,1789953,22
How do I determine if a port is open on a Windows server?,1780410,13
How can I get the ID of an element using jQuery?,1774655,19
Selecting multiple columns in a pandas dataframe,1765034,15
How to initialize all members of an array to the same value?,1759515,21
How to get the children of the $(this) selector?,1757613,16
Is there a CSS parent selector?,1756358,31
Python's equivalent of && (logical-and) in an if-statement,1755413,11
How to make a new List in Java,1753954,24
How can I pass arguments to a batch file?,1752587,16
Adding new column to existing DataFrame in Python pandas,1748874,22
Chmod 777 to a folder and all contents,1748470,7
"CSS opacity only to background color, not the text on it?",1744698,11
How to iterate over rows in a DataFrame in Pandas?,1742826,17
Does Python have a ternary conditional operator?,1740728,21
Delete a file or folder,1738978,10
jQuery get value of select onChange,1736232,14
Compare two dates with JavaScript,1736159,36
Java string to date conversion,1735308,13
How to print without newline or space?,1730723,21
Getting the last element of a list,1730395,11
How do I loop through or enumerate a JavaScript object?,1727625,37
Uncaught ReferenceError: $ is not defined?,1724161,37
How can I reset or revert a file to a specific revision?,1723038,32
How to disable text selection highlighting,1721190,41
Checking if a key exists in a JavaScript object?,1720321,20
How do you clone a Git repository into a specific folder?,1713931,18
How can I convert a string to boolean in JavaScript?,1713595,74
Check if checkbox is checked with jQuery,1712739,21
How do I correctly clone a JavaScript object?,1706052,63
HTML text input allow only numeric input,1704354,60
"What does ""javascript:void(0)"" mean?",1700707,15
Generate random integers between 0 and 9,1700186,18
"Regular expression to check if password is ""8 characters including 1 uppercase letter, 1 special character, alphanumeric characters""",1699049,10
How do I determine the size of my array in C?,1697833,20
Change an HTML5 input's placeholder color with CSS,1695661,34
How do I get list of all tables in a database using TSQL?,1690840,19
How to make a flat list out of list of lists,1685755,44
Disable same origin policy in Chrome,1680639,30
How to sleep for five seconds in a batch file/cmd,1680526,30
How do I comment out a block of tags in XML?,1678327,6
Which equals operator (== vs ===) should be used in JavaScript comparisons?,1674317,49
Show tables in PostgreSQL,1674178,21
Stretch and scale a CSS image in the background - with CSS only,1661222,21
How to split a string into a list?,1655915,9
How do I copy to the clipboard in JavaScript?,1650416,53
How can I format numbers as currency string in JavaScript?,1648663,63
What are the -Xms and -Xmx parameters when starting JVM?,1644005,4
Creating a div element in jQuery,1643189,24
Is arr.__len__() the preferred way to get the length of an array in Python?,1641556,8
How do I copy a file in Python?,1637001,16
How to overlay one div over another div,1631615,8
What IDE to use for Python?,1630455,1
Grant **all** privileges on database,1628269,10
How to declare an array in Python?,1626037,16
Hiding the scroll bar on an HTML page,1625575,20
Determine the type of an object?,1623751,12
How can I prevent SQL injection in PHP?,1621805,28
What exactly is RESTful programming?,1621555,32
Length of a JavaScript object,1619213,37
Message 'src refspec master does not match any' when pushing commits in Git,1616215,66
Delete lines in a text file that contain a specific string,1614062,14
How to insert an item into an array at a specific index (JavaScript)?,1613901,16
How to run a PowerShell script,1612518,13
How to convert strings into integers in Python?,1608304,14
Fastest way to check if a value exist in a list,1608179,13
SQL update from one Table to another based on a ID match,1607783,22
How do I set a variable to the output of a command in Bash?,1605238,14
How to merge two dictionaries in a single expression?,1603003,41
How to get the current date/time in Java,1602697,26
How can I display a JavaScript object?,1600650,36
CSS center text (horizontally and vertically) inside a div block,1596282,23
SQL query to select dates between two dates,1588695,23
SQL SELECT WHERE field contains words,1580906,15
Create GUID / UUID in JavaScript?,1574000,52
"""Notice: Undefined variable"", ""Notice: Undefined index"", and ""Notice: Undefined offset"" using PHP",1573945,28
Is there a simple way to delete a list element by value?,1572700,22
How can I remove a trailing newline?,1572651,26
Determine whether an array contains a value,1569738,18
How can I get the user input in Java?,1568070,27
Add table row in jQuery,1565976,35
window.onload vs document.onload,1560624,8
HTTP GET request in JavaScript?,1552917,24
I ran into a merge conflict. How can I abort the merge?,1552795,12
JavaScript chop/slice/trim off last character in string,1548736,21
How do I check if string contains substring?,1543417,13
Scroll to the top of the page using JavaScript/jQuery?,1543244,38
JavaScript equivalent to printf/String.Format,1542478,45
"Is there a standard function to check for null, undefined, or blank variables in JavaScript?",1539083,30
Convert date format yyyy-mm-dd => dd-mm-yyyy,1538996,14
Understanding Python super() with __init__() methods,1538681,7
What is the maximum value for an int32?,1536706,45
Converting a string to a date in JavaScript,1533108,32
"Difference between ""git add -A"" and ""git add .""",1532505,11
Manually raising (throwing) an exception in Python,1529930,7
How to loop through a plain JavaScript object with the objects as members?,1527903,21
Java - Convert integer to string,1526238,7
How to style a checkbox using CSS,1526121,29
Python: Find in list,1524973,11
How do I update Node.js?,1520762,30
Get the source directory of a Bash script from within the script itself,1519115,62
"Text editor to open big (giant, huge, large) text files",1518891,2
How can I replace a newline (\n) using sed?,1517951,41
How do I vertically align text in a div?,1517738,29
Syntax for creating a two-dimensional array,1516315,11
How to set java_home on Windows 7?,1513747,18
View the change history of a file using Git versioning,1512754,22
How to create a file in Linux from terminal window?,1510745,17
Read a file line by line assigning the value to a variable,1510405,10
Understanding slice notation,1508930,32
How do I give text or an image a transparent background using CSS?,1508644,28
How to round a number to n decimal places in Java,1508340,30
How to access environment variable values?,1508013,9
How do I get a YouTube video thumbnail from the YouTube API?,1507551,32
Unsupported major.minor version 52.0,1505578,26
How can I read input from the console using the Scanner class in Java?,1502499,15
How can I get column names from a table in SQL Server?,1501633,17
Get list from pandas DataFrame column headers,1498703,18
How to remove focus border (outline) around text/input boxes? (Chrome),1495590,11
How to style a <select> dropdown with only CSS?,1495083,24
UnicodeEncodeError: 'ascii' codec can't encode character u'\xa0' in position 20: ordinal not in range(128),1494915,27
PHP equivalent of .NET/Java's toString(),1493546,24
How to generate a random int in C?,1488530,25
How can I do an UPDATE statement with JOIN in SQL?,1486196,16
How to parse JSON in Java,1484990,31
How do I add a class to a given element?,1484066,22
Find all files in a directory with extension .txt in Python,1483146,26
How do I append one string to another in Python?,1482646,10
Can't start Eclipse - Java was started but returned exit code=13,1476359,41
Convert char to int in C and C++,1470799,11
Convert JS object to JSON string,1467792,18
Sum a list of numbers in Python,1467365,22
Remove all whitespace in a string in Python,1466354,9
How to get the client IP address in PHP,1464556,30
Convert ArrayList<String> to String[] array,1462412,6
